id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_answer
Q001,Quantitative Aptitude,Easy,A shopkeeper sells an item for Rs. 460 after giving a 8% discount on the marked price. What is the marked price?,Rs. 500,Rs. 510,Rs. 520,Rs. 490,a
Q002,Quantitative Aptitude,Easy,"If the ratio of two numbers is 3:5 and their sum is 96, what is the larger number?",36,48,60,56,c
Q003,Quantitative Aptitude,Medium,"A can complete a task in 12 days and B in 18 days. Working together, how many days will they take?",6.4 days,7.2 days,8 days,9 days,b
Q004,Quantitative Aptitude,Medium,A sum of money doubles itself in 8 years at simple interest. In how many years will it triple?,12 years,16 years,20 years,24 years,b
Q005,Quantitative Aptitude,Easy,What is 40% of 250?,90,100,110,120,b
Q006,Quantitative Aptitude,Medium,The average of 5 consecutive odd numbers is 61. What is the largest number?,63,65,67,69,b
Q007,Quantitative Aptitude,Hard,A train 150m long crosses a platform 300m long in 30 seconds. What is the speed of the train in km/hr?,45 km/hr,54 km/hr,60 km/hr,50 km/hr,b
Q008,Quantitative Aptitude,Easy,"Find the next number in the series: 2, 6, 12, 20, 30, ?",40,42,36,38,b
Q009,Quantitative Aptitude,Medium,"If the cost price of 20 articles equals the selling price of 16 articles, what is the profit percentage?",20%,25%,16%,30%,b
Q010,Quantitative Aptitude,Hard,"A mixture contains milk and water in the ratio 5:3. If 16 litres of water is added, the ratio becomes 5:7. What was the initial quantity of milk?",10 litres,20 litres,15 litres,25 litres,a
Q011,Quantitative Aptitude,Easy,"A man's age is 4 times his son's age. After 20 years, his age will be twice his son's age. Find the son's current age.",8 years,10 years,12 years,14 years,b
Q012,Quantitative Aptitude,Medium,"What is the compound interest on Rs. 10,000 for 2 years at 10% per annum, compounded annually?","Rs. 2,000","Rs. 2,100","Rs. 2,200","Rs. 2,500",b
Q013,Quantitative Aptitude,Easy,"If x + y = 10 and xy = 21, what is x^2 + y^2?",52,58,48,64,b
Q014,Quantitative Aptitude,Medium,A boat travels 30 km downstream in 2 hours and returns upstream in 3 hours. What is the speed of the boat in still water?,10 km/hr,12.5 km/hr,15 km/hr,11 km/hr,b
Q015,Quantitative Aptitude,Hard,In how many ways can the letters of the word 'LEADER' be arranged?,360,720,120,240,a
Q016,Quantitative Aptitude,Easy,What is the least common multiple (LCM) of 12 and 18?,24,36,48,72,b
Q017,Quantitative Aptitude,Medium,A car covers a distance at 60 km/hr and returns at 40 km/hr. What is the average speed for the entire journey?,48 km/hr,50 km/hr,45 km/hr,52 km/hr,a
Q018,Quantitative Aptitude,Easy,A number when divided by 15 leaves a remainder of 7. What is the remainder when the same number is divided by 5?,0,1,2,3,c
Q019,Quantitative Aptitude,Medium,"Two pipes A and B can fill a tank in 20 and 30 minutes respectively. A third pipe C can empty it in 15 minutes. If all three pipes are opened together, how long will it take to fill the tank?",40 minutes,50 minutes,60 minutes,45 minutes,c
Q020,Quantitative Aptitude,Hard,"The population of a town increases by 10% in the first year and decreases by 10% in the second year. If the initial population was 20,000, what is the population after 2 years?","19,800","20,000","19,600","20,200",a
Q021,Logical Reasoning,Easy,"If 'CAT' is coded as '3120', how is 'DOG' coded using the same logic (A=1, B=2, C=3...)?",4157,4715,4157 reversed,4 15 7,d
Q022,Logical Reasoning,Easy,"Pointing to a photograph, a man says, 'She is the daughter of my grandfather's only son.' How is the woman related to the man?",Sister,Mother,Aunt,Cousin,a
Q023,Logical Reasoning,Medium,"In a certain code, 'GARDEN' is written as 'HZQEDM'. How is 'FLOWER' written in that code?",GKPVDS,EMNVFQ,GKNVDS,GMPXFS,a
Q024,Logical Reasoning,Easy,"Find the odd one out: Apple, Mango, Potato, Banana",Apple,Mango,Potato,Banana,c
Q025,Logical Reasoning,Medium,A is the brother of B. B is the sister of C. C is the father of D. How is A related to D?,Grandfather,Uncle,Father,Brother,b
Q026,Logical Reasoning,Easy,"Complete the series: 3, 9, 27, 81, ?",162,243,324,729,b
Q027,Logical Reasoning,Medium,"If South-East becomes North, North-East becomes West, then what will West become?",North-East,South-East,South,North,b
Q028,Logical Reasoning,Hard,Statement: All pens are books. All books are tables. Conclusion I: All pens are tables. Conclusion II: All tables are pens. Which conclusion(s) follow?,Only I follows,Only II follows,Both follow,Neither follows,a
Q029,Logical Reasoning,Easy,"A man walks 5 km North, then turns right and walks 3 km, then turns right again and walks 5 km. How far is he from his starting point?",3 km,5 km,8 km,13 km,a
Q030,Logical Reasoning,Medium,"Five friends P, Q, R, S, T are sitting in a row. P is to the left of Q but right of R. S is to the right of Q but left of T. Who is sitting in the middle?",P,Q,R,S,b
Q031,Logical Reasoning,Easy,"Which number should replace the question mark? 4, 9, 16, 25, 36, ?",42,48,49,64,c
Q032,Logical Reasoning,Medium,"If 'MONEY' is coded as 'NPOFZ', what is the code for 'TIME'?",UJNF,UJMF,SJNF,UINF,a
Q033,Logical Reasoning,Hard,"In a row of children, Ravi is 7th from the left and 12th from the right. How many children are there in total?",18,19,20,17,a
Q034,Logical Reasoning,Easy,"Which word does NOT belong with the others: Trumpet, Drum, Guitar, Painting",Trumpet,Drum,Guitar,Painting,d
Q035,Logical Reasoning,Medium,"If all Zeeps are Yips, and all Yips are Xoos, which of the following must be true?",All Xoos are Zeeps,All Zeeps are Xoos,No Zeep is a Xoo,Some Xoos are not Yips,b
Q036,Logical Reasoning,Easy,"Look at this series: 21, 25, 29, 33, ... What number should come next?",35,37,36,38,b
Q037,Logical Reasoning,Medium,A is taller than B but shorter than C. D is taller than C. Who is the tallest?,A,B,C,D,d
Q038,Logical Reasoning,Hard,"In a certain language, 'ROSE' is coded as 'URVH'. What is the code for 'LOTUS'?",ORWXV,NQVWU,ORWXW,MPUVT,a
Q039,Logical Reasoning,Easy,"If Monday falls on the 3rd of a month, what day will fall on the 24th of the same month?",Sunday,Monday,Tuesday,Wednesday,b
Q040,Logical Reasoning,Medium,"Choose the figure/number that does not fit the pattern: 2, 5, 10, 17, 26, 36",5,17,26,36,d
Q041,Verbal Ability,Easy,Choose the synonym of 'Benevolent'.,Cruel,Kind,Selfish,Arrogant,b
Q042,Verbal Ability,Easy,Choose the antonym of 'Abundant'.,Plentiful,Scarce,Huge,Rich,b
Q043,Verbal Ability,Medium,Fill in the blank: She is _____ honest person and always speaks the truth.,a,an,the,no article needed,b
Q044,Verbal Ability,Medium,Identify the correctly punctuated sentence.,"Its a beautiful day, isnt it.","It's a beautiful day, isn't it?",Its' a beautiful day isnt it?,It's a beautiful day isn't it.,b
Q045,Verbal Ability,Easy,Choose the correctly spelled word.,Occassion,Occasion,Ocasion,Ocassion,b
Q046,Verbal Ability,Medium,Choose the word that best completes the analogy: Doctor is to Hospital as Teacher is to ____.,Book,School,Student,Chalk,b
Q047,Verbal Ability,Easy,Choose the correct passive voice: 'She writes a letter.',A letter is written by her.,A letter was written by her.,A letter is being written by her.,A letter has written her.,a
Q048,Verbal Ability,Medium,Choose the word that is opposite in meaning to 'Meticulous'.,Careless,Precise,Thorough,Careful,a
Q049,Verbal Ability,Hard,Choose the option that best expresses the meaning of the idiom: 'Bite the bullet',To avoid a difficult situation,To face a difficult situation bravely,To be angry,To act foolishly,b
Q050,Verbal Ability,Easy,Choose the correctly ordered sentence: (1) to school (2) every day (3) she goes (4) on time,3 1 2 4,3 1 4 2,1 3 2 4,3 4 1 2,a
Q051,Verbal Ability,Medium,Choose the correct meaning of the word 'Ephemeral'.,Lasting forever,Short-lived,Extremely loud,Very heavy,b
Q052,Verbal Ability,Easy,Choose the correct plural form of 'Analysis'.,Analysises,Analysis',Analyses,Analysie,c
Q053,Verbal Ability,Medium,Choose the sentence with correct subject-verb agreement.,The team of players are practicing hard.,The team of players is practicing hard.,The team of players were practicing hard.,The team of players practicing hard.,b
Q054,Verbal Ability,Hard,"Choose the correctly restructured sentence: 'Despite of the rain, they continued the match.'","Despite the rain, they continued the match.","Despite of rain, they continued the match.","In despite the rain, they continued the match.",Despite the rain they continue the match.,a
Q055,Verbal Ability,Easy,Choose the synonym of 'Diligent'.,Lazy,Hardworking,Careless,Slow,b
Q056,Verbal Ability,Medium,Fill in the blank: Neither the manager nor the employees _____ satisfied with the decision.,was,were,is,has been,b
Q057,Verbal Ability,Easy,Choose the antonym of 'Optimistic'.,Hopeful,Pessimistic,Cheerful,Confident,b
Q058,Verbal Ability,Medium,"Choose the correct indirect speech: He said, 'I am going to the market.'",He said that he is going to the market.,He said that he was going to the market.,He said that he went to the market.,He says that he was going to the market.,b
Q059,Verbal Ability,Hard,Choose the option closest in meaning to 'Ubiquitous'.,Rare,Omnipresent,Unclear,Ancient,b
Q060,Verbal Ability,Easy,Choose the correctly spelled word.,Recieve,Receive,Receve,Receeve,b
