id,topic,category,difficulty
GD001,Is Artificial Intelligence a threat to human jobs?,Technology,Medium
GD002,Should social media platforms be regulated by governments?,Technology,Medium
GD003,Is remote work more productive than working from office?,Business & Economy,Easy
GD004,Should India adopt a Uniform Civil Code?,Current Affairs,Hard
GD005,Is capitalism the best economic system for developing nations?,Business & Economy,Hard
GD006,Should exams be abolished as a measure of learning?,Education,Medium
GD007,Is climate change the biggest threat facing humanity today?,Environment,Medium
GD008,Should plastic be completely banned worldwide?,Environment,Easy
GD009,Does social media do more harm than good?,Social Issues,Easy
GD010,Should there be a cap on CEO salaries?,Business & Economy,Medium
GD011,Is online education as effective as classroom learning?,Education,Easy
GD012,Should voting be made compulsory?,Current Affairs,Medium
GD013,Is a cashless economy good for a country like India?,Business & Economy,Medium
GD014,Should the four-day work week be adopted globally?,Business & Economy,Easy
GD015,Is space exploration a waste of money?,Technology,Medium
GD016,Should genetic engineering of humans be allowed?,Ethics & Philosophy,Hard
GD017,Is nuclear energy the answer to the world's energy crisis?,Environment,Hard
GD018,Should there be reservations based on economic status instead of caste?,Social Issues,Hard
GD019,Are startups better than working in an MNC?,Business & Economy,Easy
GD020,Should self-driving cars be allowed on public roads?,Technology,Medium
GD021,Is globalization beneficial for developing countries?,Business & Economy,Hard
GD022,Should there be a limit on population growth?,Social Issues,Medium
GD023,Is censorship of art and cinema justified?,Ethics & Philosophy,Medium
GD024,Should students be allowed to use AI tools like ChatGPT for assignments?,Education,Easy
GD025,Does money bring happiness?,Abstract,Easy
GD026,Is it better to be a jack of all trades or a master of one?,Abstract,Easy
GD027,Should death penalty be abolished?,Ethics & Philosophy,Hard
GD028,Is competition better than cooperation for growth?,Abstract,Medium
GD029,Should influencers be held legally responsible for the content they promote?,Social Issues,Medium
GD030,Is India ready to become a fully digital economy?,Current Affairs,Medium
GD031,Should there be a global minimum tax on corporations?,Business & Economy,Hard
GD032,Is privacy dead in the age of the internet?,Technology,Medium
GD033,Should animal testing be banned for cosmetic products?,Ethics & Philosophy,Easy
GD034,Is unemployment a bigger problem than inflation?,Business & Economy,Medium
GD035,Should schools teach financial literacy as a core subject?,Education,Easy
GD036,Is nationalism good or bad for the modern world?,Current Affairs,Hard
GD037,Should influencers and celebrities pay more taxes?,Business & Economy,Medium
GD038,Is the metaverse the future of social interaction?,Technology,Medium
GD039,Should governments provide a universal basic income?,Business & Economy,Hard
GD040,Is traditional dating being replaced by dating apps for the better?,Social Issues,Easy
GD041,Should college degrees still matter in the age of skill-based hiring?,Education,Medium
GD042,Is it ethical for companies to use customer data for targeted ads?,Ethics & Philosophy,Medium
GD043,Should India invest more in renewable energy than fossil fuels?,Environment,Medium
GD044,Is work-life balance a myth in today's corporate world?,Abstract,Easy
GD045,Should there be stricter regulations on cryptocurrency?,Business & Economy,Hard
GD046,Is failure more valuable than success as a teacher?,Abstract,Easy
GD047,Should countries prioritize economic growth over environmental protection?,Environment,Hard
GD048,Is the rise of AI-generated content a threat to creative industries?,Technology,Medium
GD049,Should there be an age limit for politicians?,Current Affairs,Medium
GD050,Is peer pressure always negative?,Social Issues,Easy
GD051,Should companies allow employees to choose their own working hours?,Business & Economy,Easy
GD052,Is it right to colonize other planets while problems exist on Earth?,Ethics & Philosophy,Hard
GD053,Should reservations in jobs and education have a time limit?,Social Issues,Hard
GD054,Is the gig economy good for workers in the long run?,Business & Economy,Medium
GD055,Should artificial intelligence be given legal rights?,Ethics & Philosophy,Hard
GD056,Is patriotism different from nationalism?,Abstract,Medium
GD057,Should smartphones be banned in schools?,Education,Easy
GD058,Is India's startup ecosystem sustainable in the long term?,Current Affairs,Medium
GD059,Should there be a global carbon tax?,Environment,Hard
GD060,Is success defined more by luck or hard work?,Abstract,Easy
